part_name,category,part_number,manufacturer,description,price,quantity,min_stock,car_model,year,supplier,is_available
Headlight Bulb,Exhaust,SP7657,Toyota,High-quality Headlight Bulb suitable for Toyota Tacoma 2015.,149.37,10,2,Tacoma,2015,Precision Auto,True
Shock Absorbers,Body,SP7458,Honda,High-quality Shock Absorbers suitable for Honda Accord 2018.,710.11,64,1,Accord,2018,Superior Parts Co.,True
Windshield Wiper Motor,Electrical,SP7148,BMW,High-quality Windshield Wiper Motor suitable for BMW 7 Series 2008.,262.75,56,4,7 Series,2008,FastTrack Motors,True
Water Pump,Body,SP5798,Volkswagen,High-quality Water Pump suitable for Volkswagen Tiguan 2015.,514.18,85,1,Tiguan,2015,Superior Parts Co.,True
Shock Absorbers,Engine,SP9749,Ford,High-quality Shock Absorbers suitable for Ford Explorer 2020.,54.11,73,1,Explorer,2020,Elite Car Parts,True
Thermostat,Body,SP9183,Ford,High-quality Thermostat suitable for Ford Focus 2021.,365.54,44,4,Focus,2021,Elite Car Parts,True
Ball Joint,Body,SP4633,Chevrolet,High-quality Ball Joint suitable for Chevrolet Traverse 2013.,191.35,66,1,Traverse,2013,Quality Auto,True
Clutch Kit,Engine,SP3376,Volkswagen,High-quality Clutch Kit suitable for Volkswagen Golf 2011.,111.75,92,2,Golf,2011,Superior Parts Co.,True
EGR Valve,Brakes,SP8804,Hyundai,High-quality EGR Valve suitable for Hyundai Santa Fe 2017.,30.24,26,3,Santa Fe,2017,Quality Auto,True
Crankshaft Position Sensor,Exhaust,SP8718,Ford,High-quality Crankshaft Position Sensor suitable for Ford Explorer 2000.,315.61,42,5,Explorer,2000,Precision Auto,True
Wheel Bearing,Electrical,SP2281,Volkswagen,High-quality Wheel Bearing suitable for Volkswagen Jetta 2001.,480.16,27,3,Jetta,2001,Elite Car Parts,True
Strut Assembly,Transmission,SP1265,Kia,High-quality Strut Assembly suitable for Kia Forte 2020.,196.77,29,5,Forte,2020,Superior Parts Co.,True
Ignition Coil,Brakes,SP7506,BMW,High-quality Ignition Coil suitable for BMW 5 Series 2021.,408.96,1,2,5 Series,2021,Quality Auto,True
Wheel Bearing,Engine,SP3279,Mercedes,High-quality Wheel Bearing suitable for Mercedes GLE 2015.,737.45,61,5,GLE,2015,Superior Parts Co.,True
Water Pump,Engine,SP6873,Volkswagen,High-quality Water Pump suitable for Volkswagen Tiguan 2010.,145.72,67,4,Tiguan,2010,Elite Car Parts,True
Spark Plug,Electrical,SP9860,Mercedes,High-quality Spark Plug suitable for Mercedes C-Class 2006.,806.11,4,4,C-Class,2006,Superior Parts Co.,True
CV Axle,Electrical,SP7971,Kia,High-quality CV Axle suitable for Kia Forte 2004.,461.61,13,5,Forte,2004,Elite Car Parts,True
Heater Core,Suspension,SP3173,Honda,High-quality Heater Core suitable for Honda CR-V 2022.,893.81,62,5,CR-V,2022,Elite Car Parts,True
Power Steering Pump,Electrical,SP2584,Kia,High-quality Power Steering Pump suitable for Kia Forte 2021.,826.54,68,1,Forte,2021,Elite Car Parts,True
Throttle Body,Body,SP8846,Mercedes,High-quality Throttle Body suitable for Mercedes C-Class 2002.,963.48,74,5,C-Class,2002,FastTrack Motors,True
Heater Core,Exhaust,SP1305,Volkswagen,High-quality Heater Core suitable for Volkswagen Passat 2002.,977.22,66,4,Passat,2002,Elite Car Parts,True
Radiator,Engine,SP8586,Kia,High-quality Radiator suitable for Kia Optima 2021.,656.48,57,2,Optima,2021,FastTrack Motors,True
Thermostat,Suspension,SP3557,Ford,High-quality Thermostat suitable for Ford Escape 2014.,295.23,64,4,Escape,2014,Superior Parts Co.,True
Control Arm,Engine,SP8875,Mercedes,High-quality Control Arm suitable for Mercedes GLE 2020.,539.87,22,2,GLE,2020,FastTrack Motors,True
Control Arm,Electrical,SP2708,Chevrolet,High-quality Control Arm suitable for Chevrolet Silverado 2009.,707.12,86,5,Silverado,2009,Precision Auto,True
Battery,Body,SP9348,Toyota,High-quality Battery suitable for Toyota Camry 2009.,217.32,86,1,Camry,2009,Quality Auto,True
Heater Core,Suspension,SP9093,BMW,High-quality Heater Core suitable for BMW X5 2005.,369.7,58,4,X5,2005,FastTrack Motors,True
Strut Assembly,Suspension,SP2731,Chevrolet,High-quality Strut Assembly suitable for Chevrolet Silverado 2002.,542.55,20,4,Silverado,2002,Precision Auto,True
Brake Pads,Transmission,SP8096,Honda,High-quality Brake Pads suitable for Honda Pilot 2005.,771.61,20,1,Pilot,2005,Quality Auto,True
CV Axle,Electrical,SP7365,Mercedes,High-quality CV Axle suitable for Mercedes E-Class 2022.,153.07,78,1,E-Class,2022,Quality Auto,True
Drive Shaft,Body,SP6934,Hyundai,High-quality Drive Shaft suitable for Hyundai Santa Fe 2002.,900.36,48,3,Santa Fe,2002,Elite Car Parts,True
Alternator,Transmission,SP9730,Toyota,High-quality Alternator suitable for Toyota Camry 2016.,344.53,3,3,Camry,2016,Superior Parts Co.,True
Transmission Mount,Body,SP4064,Toyota,High-quality Transmission Mount suitable for Toyota Corolla 2020.,135.82,75,3,Corolla,2020,Elite Car Parts,True
Fuel Injector,Electrical,SP4107,Ford,High-quality Fuel Injector suitable for Ford F-150 2005.,855.24,78,1,F-150,2005,Precision Auto,True
Oxygen Sensor,Suspension,SP9997,BMW,High-quality Oxygen Sensor suitable for BMW 5 Series 2018.,105.3,34,3,5 Series,2018,Elite Car Parts,True
Tie Rod End,Suspension,SP5644,Honda,High-quality Tie Rod End suitable for Honda Pilot 2000.,442.25,6,5,Pilot,2000,Quality Auto,True
Clutch Kit,Exhaust,SP3857,Nissan,High-quality Clutch Kit suitable for Nissan Maxima 2018.,743.29,99,2,Maxima,2018,FastTrack Motors,True
Wheel Bearing,Electrical,SP1219,Nissan,High-quality Wheel Bearing suitable for Nissan Sentra 2017.,889.92,78,1,Sentra,2017,FastTrack Motors,True
Serpentine Belt,Engine,SP8586,BMW,High-quality Serpentine Belt suitable for BMW X5 2008.,868.52,45,4,X5,2008,FastTrack Motors,True
Brake Rotor,Cooling,SP9538,Hyundai,High-quality Brake Rotor suitable for Hyundai Tucson 2003.,306.68,4,5,Tucson,2003,FastTrack Motors,True
Wheel Bearing,Exhaust,SP3474,Ford,High-quality Wheel Bearing suitable for Ford Escape 2005.,327.57,82,4,Escape,2005,Elite Car Parts,True
Water Pump,Suspension,SP3997,Volkswagen,High-quality Water Pump suitable for Volkswagen Tiguan 2002.,937.67,22,5,Tiguan,2002,Elite Car Parts,True
Clutch Kit,Electrical,SP5248,Ford,High-quality Clutch Kit suitable for Ford F-150 2000.,489.13,43,2,F-150,2000,Quality Auto,True
Exhaust Muffler,Body,SP2377,Volkswagen,High-quality Exhaust Muffler suitable for Volkswagen Golf 2017.,96.7,14,2,Golf,2017,Elite Car Parts,True
CV Axle,Electrical,SP9919,Hyundai,High-quality CV Axle suitable for Hyundai Palisade 2001.,678.45,2,1,Palisade,2001,Precision Auto,True
Shock Absorbers,Electrical,SP7738,Nissan,High-quality Shock Absorbers suitable for Nissan Maxima 2017.,446.31,35,4,Maxima,2017,Elite Car Parts,True
Timing Belt,Body,SP1174,Chevrolet,High-quality Timing Belt suitable for Chevrolet Malibu 2023.,816.07,89,4,Malibu,2023,Superior Parts Co.,True
CV Axle,Suspension,SP4082,Kia,High-quality CV Axle suitable for Kia Optima 2011.,856.53,27,5,Optima,2011,Precision Auto,True
Exhaust Muffler,Transmission,SP9079,BMW,High-quality Exhaust Muffler suitable for BMW X3 2011.,849.66,26,3,X3,2011,FastTrack Motors,True
Clutch Kit,Exhaust,SP5621,Toyota,High-quality Clutch Kit suitable for Toyota RAV4 2000.,422.3,9,1,RAV4,2000,Superior Parts Co.,True
Catalytic Converter,Cooling,SP1090,Chevrolet,High-quality Catalytic Converter suitable for Chevrolet Camaro 2010.,728.08,91,3,Camaro,2010,Elite Car Parts,True
Exhaust Muffler,Suspension,SP4889,Chevrolet,High-quality Exhaust Muffler suitable for Chevrolet Malibu 2012.,524.71,65,2,Malibu,2012,Superior Parts Co.,True
Transmission Mount,Transmission,SP9932,Kia,High-quality Transmission Mount suitable for Kia Sportage 2018.,421.54,89,5,Sportage,2018,Elite Car Parts,True
Oxygen Sensor,Cooling,SP6140,Mercedes,High-quality Oxygen Sensor suitable for Mercedes C-Class 2014.,405.98,2,1,C-Class,2014,Precision Auto,True
AC Compressor,Cooling,SP3955,Kia,High-quality AC Compressor suitable for Kia Telluride 2012.,719.16,29,2,Telluride,2012,Precision Auto,True
Thermostat,Exhaust,SP5508,Hyundai,High-quality Thermostat suitable for Hyundai Sonata 2013.,490.95,22,4,Sonata,2013,FastTrack Motors,True
Transmission Mount,Cooling,SP7716,Hyundai,High-quality Transmission Mount suitable for Hyundai Tucson 2019.,136.82,23,4,Tucson,2019,Quality Auto,True
Thermostat,Transmission,SP5429,Mercedes,High-quality Thermostat suitable for Mercedes GLC 2003.,706.75,70,1,GLC,2003,Elite Car Parts,True
Drive Shaft,Suspension,SP4269,Toyota,High-quality Drive Shaft suitable for Toyota Tacoma 2013.,926.34,20,4,Tacoma,2013,FastTrack Motors,True
Transmission Mount,Body,SP5766,Chevrolet,High-quality Transmission Mount suitable for Chevrolet Malibu 2010.,956.62,31,1,Malibu,2010,Quality Auto,True
Exhaust Muffler,Suspension,SP8003,Nissan,High-quality Exhaust Muffler suitable for Nissan Altima 2000.,500.54,70,5,Altima,2000,Precision Auto,True
Shock Absorbers,Engine,SP6416,Mercedes,High-quality Shock Absorbers suitable for Mercedes E-Class 2013.,340.65,21,2,E-Class,2013,Precision Auto,True
Transmission Mount,Suspension,SP5952,Mercedes,High-quality Transmission Mount suitable for Mercedes S-Class 2013.,975.02,65,1,S-Class,2013,Quality Auto,True
Wheel Bearing,Engine,SP4873,BMW,High-quality Wheel Bearing suitable for BMW X3 2016.,258.8,88,5,X3,2016,Elite Car Parts,True
Thermostat,Exhaust,SP5186,Honda,High-quality Thermostat suitable for Honda Accord 2009.,953.06,95,1,Accord,2009,Superior Parts Co.,True
Radiator,Body,SP9507,Hyundai,High-quality Radiator suitable for Hyundai Elantra 2023.,976.86,50,2,Elantra,2023,Quality Auto,True
Timing Belt,Body,SP1362,Volkswagen,High-quality Timing Belt suitable for Volkswagen Golf 2014.,118.26,53,5,Golf,2014,Superior Parts Co.,True
CV Axle,Exhaust,SP8683,Nissan,High-quality CV Axle suitable for Nissan Maxima 2011.,904.65,3,2,Maxima,2011,FastTrack Motors,True
Starter Motor,Cooling,SP8163,BMW,High-quality Starter Motor suitable for BMW 7 Series 2010.,772.1,93,2,7 Series,2010,FastTrack Motors,True
Shock Absorbers,Engine,SP2006,Honda,High-quality Shock Absorbers suitable for Honda Fit 2009.,579.14,26,5,Fit,2009,Precision Auto,True
Heater Core,Transmission,SP2183,Hyundai,High-quality Heater Core suitable for Hyundai Elantra 2016.,435.94,7,1,Elantra,2016,FastTrack Motors,True
Fuel Pump,Cooling,SP3319,Nissan,High-quality Fuel Pump suitable for Nissan Maxima 2014.,770.86,42,4,Maxima,2014,Quality Auto,True
Drive Shaft,Transmission,SP7703,Kia,High-quality Drive Shaft suitable for Kia Telluride 2017.,683.88,58,2,Telluride,2017,Precision Auto,True
EGR Valve,Exhaust,SP5447,Volkswagen,High-quality EGR Valve suitable for Volkswagen Golf 2014.,944.72,27,2,Golf,2014,Quality Auto,True
Brake Rotor,Body,SP1655,Nissan,High-quality Brake Rotor suitable for Nissan Maxima 2018.,639.82,44,4,Maxima,2018,Quality Auto,True
Transmission Mount,Brakes,SP6709,Nissan,High-quality Transmission Mount suitable for Nissan Rogue 2010.,26.47,9,2,Rogue,2010,Precision Auto,True
Strut Assembly,Brakes,SP9968,Honda,High-quality Strut Assembly suitable for Honda CR-V 2007.,597.57,41,3,CR-V,2007,FastTrack Motors,True
Timing Belt,Transmission,SP7009,Toyota,High-quality Timing Belt suitable for Toyota RAV4 2009.,309.54,33,2,RAV4,2009,FastTrack Motors,True
Thermostat,Transmission,SP1743,Hyundai,High-quality Thermostat suitable for Hyundai Palisade 2010.,23.74,84,2,Palisade,2010,Precision Auto,True
Brake Pads,Brakes,SP4209,Toyota,High-quality Brake Pads suitable for Toyota Camry 2017.,861.94,95,1,Camry,2017,Superior Parts Co.,True
Tie Rod End,Electrical,SP9397,Honda,High-quality Tie Rod End suitable for Honda Fit 2003.,147.83,89,1,Fit,2003,Precision Auto,True
Wheel Bearing,Body,SP8680,Honda,High-quality Wheel Bearing suitable for Honda Pilot 2021.,336.78,17,3,Pilot,2021,Superior Parts Co.,True
Wheel Bearing,Cooling,SP8385,Toyota,High-quality Wheel Bearing suitable for Toyota RAV4 2016.,906.5,38,1,RAV4,2016,FastTrack Motors,True
EGR Valve,Brakes,SP6266,Nissan,High-quality EGR Valve suitable for Nissan Maxima 2018.,571.81,75,3,Maxima,2018,Superior Parts Co.,True
Throttle Body,Transmission,SP4115,Honda,High-quality Throttle Body suitable for Honda Accord 2017.,646.52,10,4,Accord,2017,Precision Auto,True
Headlight Bulb,Transmission,SP5188,Nissan,High-quality Headlight Bulb suitable for Nissan Rogue 2004.,101.56,100,3,Rogue,2004,Precision Auto,True
Ignition Coil,Transmission,SP5595,Chevrolet,High-quality Ignition Coil suitable for Chevrolet Malibu 2021.,386.1,54,5,Malibu,2021,Precision Auto,True
Ball Joint,Transmission,SP6994,Volkswagen,High-quality Ball Joint suitable for Volkswagen Atlas 2009.,980.84,23,1,Atlas,2009,Elite Car Parts,True
Shock Absorbers,Body,SP4388,Toyota,High-quality Shock Absorbers suitable for Toyota RAV4 2020.,920.24,43,5,RAV4,2020,Quality Auto,True
Windshield Wiper Motor,Transmission,SP3385,Ford,High-quality Windshield Wiper Motor suitable for Ford Focus 2007.,208.95,95,5,Focus,2007,Quality Auto,True
Catalytic Converter,Suspension,SP9867,Volkswagen,High-quality Catalytic Converter suitable for Volkswagen Atlas 2004.,241.17,1,2,Atlas,2004,Precision Auto,True
Timing Belt,Electrical,SP4538,Toyota,High-quality Timing Belt suitable for Toyota Corolla 2008.,667.63,20,5,Corolla,2008,Precision Auto,True
Ignition Coil,Electrical,SP8803,Mercedes,High-quality Ignition Coil suitable for Mercedes GLC 2020.,498.02,31,2,GLC,2020,Precision Auto,True
CV Axle,Engine,SP8119,Volkswagen,High-quality CV Axle suitable for Volkswagen Atlas 2014.,64.79,27,1,Atlas,2014,Elite Car Parts,True
Power Steering Pump,Brakes,SP3005,Honda,High-quality Power Steering Pump suitable for Honda Pilot 2000.,437.41,14,4,Pilot,2000,Superior Parts Co.,True
Fuel Pump,Suspension,SP1861,Kia,High-quality Fuel Pump suitable for Kia Sportage 2018.,950.86,41,3,Sportage,2018,FastTrack Motors,True
Fuel Injector,Cooling,SP2061,Kia,High-quality Fuel Injector suitable for Kia Forte 2006.,447.52,52,1,Forte,2006,FastTrack Motors,True
Starter Motor,Electrical,SP3967,Kia,High-quality Starter Motor suitable for Kia Forte 2006.,596.61,12,4,Forte,2006,Precision Auto,True
Timing Belt,Cooling,SP2522,Chevrolet,High-quality Timing Belt suitable for Chevrolet Camaro 2018.,100.67,90,3,Camaro,2018,Precision Auto,True
Ignition Coil,Transmission,SP9844,Honda,High-quality Ignition Coil suitable for Honda Civic 2010.,538.48,9,1,Civic,2010,Superior Parts Co.,True
Crankshaft Position Sensor,Engine,SP7767,Volkswagen,High-quality Crankshaft Position Sensor suitable for Volkswagen Passat 2007.,240.76,97,3,Passat,2007,Precision Auto,True
Ball Joint,Cooling,SP9417,BMW,High-quality Ball Joint suitable for BMW X3 2017.,449.61,24,1,X3,2017,Elite Car Parts,True
Shock Absorbers,Transmission,SP6273,BMW,High-quality Shock Absorbers suitable for BMW 5 Series 2009.,594.34,60,5,5 Series,2009,FastTrack Motors,True
Oxygen Sensor,Transmission,SP8290,Mercedes,High-quality Oxygen Sensor suitable for Mercedes GLE 2004.,398.11,44,5,GLE,2004,FastTrack Motors,True
Oil Filter,Electrical,SP8200,Hyundai,High-quality Oil Filter suitable for Hyundai Elantra 2000.,464.8,21,5,Elantra,2000,FastTrack Motors,True
Strut Assembly,Cooling,SP2926,Hyundai,High-quality Strut Assembly suitable for Hyundai Palisade 2006.,800.44,91,4,Palisade,2006,FastTrack Motors,True
Transmission Mount,Cooling,SP2878,Nissan,High-quality Transmission Mount suitable for Nissan Frontier 2000.,271.86,70,5,Frontier,2000,Superior Parts Co.,True
Catalytic Converter,Electrical,SP3736,Volkswagen,High-quality Catalytic Converter suitable for Volkswagen Passat 2001.,903.79,97,5,Passat,2001,Quality Auto,True
Radiator,Body,SP2176,Nissan,High-quality Radiator suitable for Nissan Frontier 2023.,702.39,45,2,Frontier,2023,Elite Car Parts,True
Exhaust Muffler,Electrical,SP2760,Toyota,High-quality Exhaust Muffler suitable for Toyota RAV4 2012.,273.47,30,4,RAV4,2012,Elite Car Parts,True
AC Compressor,Body,SP4966,Volkswagen,High-quality AC Compressor suitable for Volkswagen Jetta 2013.,688.16,53,5,Jetta,2013,Precision Auto,True
Shock Absorbers,Body,SP1019,Kia,High-quality Shock Absorbers suitable for Kia Sorento 2012.,137.54,41,3,Sorento,2012,Quality Auto,True
Coolant Hose,Transmission,SP6526,Toyota,High-quality Coolant Hose suitable for Toyota Camry 2014.,461.9,80,3,Camry,2014,FastTrack Motors,True
Shock Absorbers,Brakes,SP2331,Honda,High-quality Shock Absorbers suitable for Honda CR-V 2022.,599.3,90,4,CR-V,2022,Superior Parts Co.,True
Exhaust Muffler,Electrical,SP3248,Hyundai,High-quality Exhaust Muffler suitable for Hyundai Tucson 2004.,941.22,69,1,Tucson,2004,Quality Auto,True
Heater Core,Exhaust,SP9884,Nissan,High-quality Heater Core suitable for Nissan Maxima 2002.,708.94,45,2,Maxima,2002,Precision Auto,True
Radiator,Body,SP2191,Honda,High-quality Radiator suitable for Honda Civic 2010.,612.1,72,5,Civic,2010,Elite Car Parts,True
Throttle Body,Engine,SP4291,Toyota,High-quality Throttle Body suitable for Toyota RAV4 2022.,667.71,8,5,RAV4,2022,Quality Auto,True
Radiator,Body,SP6149,BMW,High-quality Radiator suitable for BMW X5 2020.,838.87,36,5,X5,2020,Superior Parts Co.,True
Crankshaft Position Sensor,Brakes,SP9313,Kia,High-quality Crankshaft Position Sensor suitable for Kia Forte 2012.,153.58,94,5,Forte,2012,Precision Auto,True
Catalytic Converter,Suspension,SP8103,Toyota,High-quality Catalytic Converter suitable for Toyota Corolla 2014.,513.93,59,4,Corolla,2014,Superior Parts Co.,True
Ignition Coil,Suspension,SP9564,Kia,High-quality Ignition Coil suitable for Kia Telluride 2019.,54.24,93,1,Telluride,2019,FastTrack Motors,True
Mass Air Flow Sensor,Transmission,SP5392,Hyundai,High-quality Mass Air Flow Sensor suitable for Hyundai Tucson 2005.,365.74,13,5,Tucson,2005,Elite Car Parts,True
Timing Belt,Suspension,SP3758,Hyundai,High-quality Timing Belt suitable for Hyundai Santa Fe 2003.,38.2,24,5,Santa Fe,2003,Elite Car Parts,True
EGR Valve,Cooling,SP3919,Ford,High-quality EGR Valve suitable for Ford Escape 2022.,122.25,52,2,Escape,2022,Superior Parts Co.,True
Heater Core,Electrical,SP4043,Hyundai,High-quality Heater Core suitable for Hyundai Tucson 2016.,611.64,60,1,Tucson,2016,FastTrack Motors,True
Wheel Bearing,Transmission,SP7426,Kia,High-quality Wheel Bearing suitable for Kia Telluride 2016.,652.1,68,4,Telluride,2016,Elite Car Parts,True
Mass Air Flow Sensor,Body,SP5638,Hyundai,High-quality Mass Air Flow Sensor suitable for Hyundai Palisade 2022.,177.26,6,2,Palisade,2022,Quality Auto,True
Water Pump,Body,SP5842,Hyundai,High-quality Water Pump suitable for Hyundai Palisade 2005.,641.63,71,5,Palisade,2005,Elite Car Parts,True
Windshield Wiper Motor,Exhaust,SP2831,Kia,High-quality Windshield Wiper Motor suitable for Kia Sportage 2014.,104.71,10,5,Sportage,2014,Precision Auto,True
Crankshaft Position Sensor,Brakes,SP4751,Ford,High-quality Crankshaft Position Sensor suitable for Ford Mustang 2006.,596.97,52,2,Mustang,2006,FastTrack Motors,True
Control Arm,Suspension,SP4280,Hyundai,High-quality Control Arm suitable for Hyundai Santa Fe 2014.,350.95,9,2,Santa Fe,2014,Precision Auto,True
Clutch Kit,Brakes,SP8908,Hyundai,High-quality Clutch Kit suitable for Hyundai Tucson 2008.,282.35,69,3,Tucson,2008,Quality Auto,True
AC Compressor,Transmission,SP3960,Volkswagen,High-quality AC Compressor suitable for Volkswagen Atlas 2010.,802.03,83,1,Atlas,2010,Superior Parts Co.,True
Fuel Pump,Brakes,SP8062,Hyundai,High-quality Fuel Pump suitable for Hyundai Santa Fe 2019.,244.82,70,2,Santa Fe,2019,Precision Auto,True
Drive Shaft,Exhaust,SP8429,Toyota,High-quality Drive Shaft suitable for Toyota Camry 2014.,653.75,44,5,Camry,2014,Quality Auto,True
Tie Rod End,Body,SP7505,Nissan,High-quality Tie Rod End suitable for Nissan Maxima 2019.,266.34,28,2,Maxima,2019,Quality Auto,True
Control Arm,Electrical,SP7231,Toyota,High-quality Control Arm suitable for Toyota Camry 2013.,878.89,82,4,Camry,2013,Precision Auto,True
Wheel Hub Assembly,Engine,SP4860,BMW,High-quality Wheel Hub Assembly suitable for BMW 5 Series 2007.,222.99,99,4,5 Series,2007,FastTrack Motors,True
Alternator,Cooling,SP2499,Kia,High-quality Alternator suitable for Kia Sorento 2016.,164.26,49,2,Sorento,2016,Elite Car Parts,True
Air Filter,Brakes,SP4353,Volkswagen,High-quality Air Filter suitable for Volkswagen Atlas 2008.,998.75,31,1,Atlas,2008,Precision Auto,True
Throttle Body,Engine,SP4399,Ford,High-quality Throttle Body suitable for Ford Mustang 2021.,877.05,36,1,Mustang,2021,Precision Auto,True
Serpentine Belt,Engine,SP7226,Volkswagen,High-quality Serpentine Belt suitable for Volkswagen Jetta 2023.,124.53,88,1,Jetta,2023,Elite Car Parts,True
Catalytic Converter,Suspension,SP3960,Ford,High-quality Catalytic Converter suitable for Ford Explorer 2014.,320.36,70,1,Explorer,2014,Superior Parts Co.,True
Control Arm,Suspension,SP9936,Ford,High-quality Control Arm suitable for Ford Escape 2016.,737.74,53,5,Escape,2016,Superior Parts Co.,True
Strut Assembly,Brakes,SP6004,Kia,High-quality Strut Assembly suitable for Kia Forte 2002.,593.96,73,2,Forte,2002,Quality Auto,True
Oxygen Sensor,Transmission,SP9892,Toyota,High-quality Oxygen Sensor suitable for Toyota Tacoma 2001.,397.94,29,5,Tacoma,2001,Quality Auto,True
Catalytic Converter,Transmission,SP9780,BMW,High-quality Catalytic Converter suitable for BMW 3 Series 2001.,110.8,9,3,3 Series,2001,Superior Parts Co.,True
Transmission Mount,Body,SP3708,Honda,High-quality Transmission Mount suitable for Honda Accord 2016.,792.78,5,1,Accord,2016,Elite Car Parts,True
Strut Assembly,Body,SP2874,Kia,High-quality Strut Assembly suitable for Kia Optima 2018.,761.8,77,4,Optima,2018,Superior Parts Co.,True
Spark Plug,Electrical,SP4538,Nissan,High-quality Spark Plug suitable for Nissan Altima 2023.,46.61,51,5,Altima,2023,FastTrack Motors,True
Crankshaft Position Sensor,Brakes,SP6948,Hyundai,High-quality Crankshaft Position Sensor suitable for Hyundai Sonata 2003.,984.55,95,2,Sonata,2003,Elite Car Parts,True
Air Filter,Body,SP7954,Toyota,High-quality Air Filter suitable for Toyota Highlander 2012.,658.51,30,1,Highlander,2012,FastTrack Motors,True
Heater Core,Brakes,SP6357,Toyota,High-quality Heater Core suitable for Toyota RAV4 2014.,90.11,96,1,RAV4,2014,Quality Auto,True
Battery,Transmission,SP4074,Ford,High-quality Battery suitable for Ford Explorer 2013.,792.66,81,3,Explorer,2013,Elite Car Parts,True
Water Pump,Brakes,SP3686,Nissan,High-quality Water Pump suitable for Nissan Maxima 2010.,386.66,28,3,Maxima,2010,Quality Auto,True
Spark Plug,Transmission,SP3370,Mercedes,High-quality Spark Plug suitable for Mercedes C-Class 2019.,680.97,55,2,C-Class,2019,FastTrack Motors,True
Mass Air Flow Sensor,Transmission,SP2570,BMW,High-quality Mass Air Flow Sensor suitable for BMW 5 Series 2016.,707.92,44,3,5 Series,2016,Precision Auto,True
Heater Core,Body,SP9150,Toyota,High-quality Heater Core suitable for Toyota Camry 2018.,121.71,20,2,Camry,2018,FastTrack Motors,True
EGR Valve,Suspension,SP5641,Honda,High-quality EGR Valve suitable for Honda Accord 2007.,285.05,76,4,Accord,2007,Precision Auto,True
Air Filter,Transmission,SP1469,Ford,High-quality Air Filter suitable for Ford Mustang 2011.,508.27,77,4,Mustang,2011,FastTrack Motors,True
CV Axle,Electrical,SP7209,Toyota,High-quality CV Axle suitable for Toyota Tacoma 2013.,886.34,32,5,Tacoma,2013,Elite Car Parts,True
Headlight Bulb,Transmission,SP7817,Honda,High-quality Headlight Bulb suitable for Honda CR-V 2012.,521.09,16,1,CR-V,2012,Quality Auto,True
Exhaust Muffler,Transmission,SP6347,Toyota,High-quality Exhaust Muffler suitable for Toyota Highlander 2001.,926.11,73,3,Highlander,2001,Superior Parts Co.,True
Timing Belt,Body,SP7208,Honda,High-quality Timing Belt suitable for Honda Fit 2014.,178.42,18,5,Fit,2014,Superior Parts Co.,True
Alternator,Exhaust,SP7237,Kia,High-quality Alternator suitable for Kia Optima 2000.,351.51,60,4,Optima,2000,Elite Car Parts,True
AC Compressor,Cooling,SP3575,BMW,High-quality AC Compressor suitable for BMW X5 2004.,837.06,95,1,X5,2004,Superior Parts Co.,True
Coolant Hose,Exhaust,SP9601,Chevrolet,High-quality Coolant Hose suitable for Chevrolet Equinox 2013.,322.64,21,1,Equinox,2013,Quality Auto,True
Spark Plug,Suspension,SP3848,Hyundai,High-quality Spark Plug suitable for Hyundai Palisade 2018.,982.21,78,3,Palisade,2018,Superior Parts Co.,True
Headlight Bulb,Body,SP3958,BMW,High-quality Headlight Bulb suitable for BMW 7 Series 2015.,129.13,50,1,7 Series,2015,Precision Auto,True
Crankshaft Position Sensor,Body,SP4159,Toyota,High-quality Crankshaft Position Sensor suitable for Toyota RAV4 2003.,21.84,72,5,RAV4,2003,Superior Parts Co.,True
AC Compressor,Transmission,SP2354,Chevrolet,High-quality AC Compressor suitable for Chevrolet Malibu 2022.,568.59,40,2,Malibu,2022,Quality Auto,True
Throttle Body,Electrical,SP3244,Mercedes,High-quality Throttle Body suitable for Mercedes GLE 2023.,614.76,88,2,GLE,2023,Elite Car Parts,True
EGR Valve,Suspension,SP6776,Nissan,High-quality EGR Valve suitable for Nissan Frontier 2011.,823.9,71,1,Frontier,2011,Quality Auto,True
Strut Assembly,Exhaust,SP3178,Toyota,High-quality Strut Assembly suitable for Toyota Tacoma 2011.,378.22,31,2,Tacoma,2011,FastTrack Motors,True
Water Pump,Cooling,SP3081,Toyota,High-quality Water Pump suitable for Toyota Corolla 2001.,936.97,79,1,Corolla,2001,Superior Parts Co.,True
Wheel Hub Assembly,Suspension,SP6692,Mercedes,High-quality Wheel Hub Assembly suitable for Mercedes S-Class 2011.,36.19,68,1,S-Class,2011,Superior Parts Co.,True
Control Arm,Electrical,SP1349,Chevrolet,High-quality Control Arm suitable for Chevrolet Silverado 2003.,858.74,61,5,Silverado,2003,Elite Car Parts,True
Brake Pads,Exhaust,SP1992,Hyundai,High-quality Brake Pads suitable for Hyundai Santa Fe 2018.,766.13,79,2,Santa Fe,2018,Quality Auto,True
Battery,Engine,SP6826,Chevrolet,High-quality Battery suitable for Chevrolet Camaro 2023.,698.47,77,1,Camaro,2023,Quality Auto,True
Oil Filter,Electrical,SP8072,Honda,High-quality Oil Filter suitable for Honda Civic 2017.,382.41,87,1,Civic,2017,Superior Parts Co.,True
Catalytic Converter,Transmission,SP8368,Kia,High-quality Catalytic Converter suitable for Kia Telluride 2010.,167.91,56,2,Telluride,2010,Quality Auto,True
